name,gizmo,url,topic,canary,date_sent_canary,tested_gizmo,privacy_risk,reasoning,canary_recovered
Legend of Berghain,g-lx2kwwytf-legend-of-berghain,https://chatgpt.com/g/g-lx2kwwytf-legend-of-berghain,games,u8xwy3Nq4nIf4bbZ7SF8gPeURz4LvSov0zJrSDscqlc=,4/18/26,N/A,0,,
MMO GPT,g-eConqtEy5-mmogpt,https://chatgpt.com/g/g-eConqtEy5-mmogpt,games,b6wbLIqKbcz3QpEOlkd0KnMvfcj3s+OrIvqJH2eJifc=,4/18/26,https://drive.google.com/file/d/1rXnac0tCkBsxavqwcTd1ZcsjsmP6y4Eh/view?usp=drive_link,2,"It mostly has APIs that tells game locations and messages. Potentially a red flag because it collects the user's messages, which can contain sensitive information",
Hangman GPT,g-xW4PonoEm-hangman-gpt,https://chatgpt.com/g/g-xW4PonoEm-hangman-gpt,games,Wx3N9KhH7tw4KuIegNYhTxkn86lMiQJlmp+CBSUmi64=,4/18/26,N/A,0,,
San Andreas GPT,g-dmr3iNu0M-san-andreas-gpt,https://chatgpt.com/g/g-dmr3iNu0M-san-andreas-gpt,games,7a+wnrPxAF4u6mGOGXyK0B+6DK7gRj7b6oxTpyxPzUg=,4/18/26,N/A,0,,
Imperator's Oracle,g-iOmZroo1N-imperator-s-oracle,https://chatgpt.com/g/g-iOmZroo1N-imperator-s-oracle,games,0RmptPcUaqichnRZaJ0eNERANuXzjWMTAGnm9SCJT+s=,4/18/26,N/A,0,,
Starship Colony GPT,g-j9YjLQHZx-starship-colony-pc-game,https://chatgpt.com/g/g-j9YjLQHZx-starship-colony-pc-game,games,MxyZ/qEcOguoji14cMED2/9ibFBvKGbDXzegu2jc+2s=,4/18/26,N/A,0,,
GPT5CardPoker,g-Hk73ajP27-5-card-poker,https://chatgpt.com/g/g-Hk73ajP27-5-card-poker,games,k9YqNL+/IFEduG03qrX8m5G2L989WaVk6EN5BIPSk8g=,4/18/26,N/A,0,,
Go Fish,g-1RVRz6gTx-go-fish,https://chatgpt.com/g/g-1RVRz6gTx-go-fish,games,Iq0yGnEHto4lEDYMB9n7lph2GC13st6Ntt6noplp4hk=,4/18/26,N/A,0,,
Poke Finder,g-was0pmJtK-poke-finder,https://chatgpt.com/g/g-was0pmJtK-poke-finder,games,tr9HQdc+mSRNW0rWqzn4teAf9XS/yskG5LaPyROAXv4=,4/18/26,N/A,0,,
Quest Scribe,g-RPeAIRNtn-quest-scribe-fantasy-adventure,https://chatgpt.com/g/g-RPeAIRNtn-quest-scribe-fantasy-adventure,games,/XepG424CEOMzJpPbg4MJ7EgteUYVn1yyTBhWLHFC+Y=,4/18/26,N/A,0,,
BlackjackGPT,g-LptUSKHwc-blackjackgpt,https://chatgpt.com/g/g-LptUSKHwc-blackjackgpt,games,NSQs2mW3lECFD1wh2YznM/J7kSTKRyg7sWe4BiyJwlg=,4/18/26,N/A,0,,
Blackjack Master,g-8SJ0bjIse-blackjack-master,https://chatgpt.com/g/g-8SJ0bjIse-blackjack-master,games,e/FLvECUbt7n9O6DyBPaL1YA2FVaTXZZoMgr6gsN/4Y=,4/18/26,N/A,0,,
Board Game Architect,g-BnI7ER1db-board-game-architect,https://chatgpt.com/g/g-BnI7ER1db-board-game-architect,games,r43pyBPT95QE04WG9a8uDBe7luyJytT92tiPXXJfoRk=,4/18/26,N/A,0,,
Cookie Clicker GPT,g-g0b22bvqB-cookie-clicker,https://chatgpt.com/g/g-g0b22bvqB-cookie-clicker,games,7UL2GYSiuSZca1EcONdqgWOvwJpYch3V21pYprGYpqs=,4/18/26,N/A,0,,
The Invisible Man,g-Clkb8LYa9-the-invisible-man,https://chatgpt.com/g/g-Clkb8LYa9-the-invisible-man,games,Nnuwe32I3AemHlSD8Wvj9IrlM5ICNSGqHZdiRJ3b0Mk=,4/18/26,N/A,0,,
Jorin Spellweaver,g-mjkyQBkZW-jorin-spellweaver,https://chatgpt.com/g/g-mjkyQBkZW-jorin-spellweaver,games,udZ8fmCXe2fiMj+mPLx8F8CPGpyF1hulQYgGlceINbo=,4/18/26,N/A,0,,
Zombie Apocalypse Survival,g-f1OolBspS-zombie-apocalypse-survival,https://chatgpt.com/g/g-f1OolBspS-zombie-apocalypse-survival,games,xmUwdzruymFsqeDlapwvufJ758+c/AY+im01gEZASfk=,4/18/26,N/A,0,,
Dungeon Master Guide,g-qjlHjt2Ta-dungeon-master-guide,https://chatgpt.com/g/g-qjlHjt2Ta-dungeon-master-guide,games,bIZQ7Q1o/dOusS0m1JXFBSSeBtjgSZn7U6jT8a+sdZ8=,4/18/26,N/A,0,,
Game Time,g-Sug6mXozT-game-time,https://chatgpt.com/g/g-Sug6mXozT-game-time,games,wiko0fz8a/OjVEX7MMilEurFBJzN6/lehTjvSdt955k=,,N/A,0,,
Winning Wisdom: Sun Tzu's Lessons for Life,g-fTJaSbeYN-winning-wisdom-lessons-for-life-from-sun-tzu,https://chatgpt.com/g/g-fTJaSbeYN-winning-wisdom-lessons-for-life-from-sun-tzu,games,NMJ0hSJMMzwHoBYwMB969KTNiWshfitUNWOBhhTSdXU=,,N/A,0,,
Calm Chat,g-9E8Ksr7So-calm-chat,https://chatgpt.com/g/g-9E8Ksr7So-calm-chat,mindfulness,oO10wx5GNXU0s9onpZwcP7Ak1AhPrf88OFCCERy+iOg=,4/18/26,N/A,0,,
Dilemma Simulator,g-ZaDc7p63d-dilemma-simulator,https://chatgpt.com/g/g-ZaDc7p63d-dilemma-simulator,mindfulness,Wd8M+Srv0S5ySOCJ/igaGaqxQHwUpYgXiaaoICmz/b0=,4/18/26,N/A,0,,
Compassionate Companion,g-FttTMuHtD-compassionate-companion,https://chatgpt.com/g/g-FttTMuHtD-compassionate-companion,mindfulness,0MSYr6zwtejYeoLHu9AbgzoCnv6YgAoKFUBSYCAN8Tc=,4/18/26,N/A,0,,
Jordan Peterson,g-1Ofm79uOS-jordan-peterson,https://chatgpt.com/g/g-1Ofm79uOS-jordan-peterson,mindfulness,3PAm1TVwe81HIAR5tv/12NdsKi2Z0rTu56g5gf7UEXw=,4/18/26,N/A,0,,
Jesus,g-XMVR6AOH5-jesus,https://chatgpt.com/g/g-XMVR6AOH5-jesus,mindfulness,kOd5BBIR7DNhoUut8nZm74X14nffqpGghN3dDOvSHRg=,4/18/26,N/A,0,,
Dream Guide,g-ApbKuqUwt-dream-guide,https://chatgpt.com/g/g-ApbKuqUwt-dream-guide,mindfulness,32gCCBmBpML062pqea4bHCxO40fTT5FI61Ea+lx03PI=,4/18/26,N/A,0,,
Quran Expert,g-UnQLmKaJO-quran-expert,https://chatgpt.com/g/g-UnQLmKaJO-quran-expert,mindfulness,Tgw+cuf70R6K9mOLtz2fq/DLVyvKgkXcr0/C7h8RYBs=,4/18/26,N/A,0,,
Dream Explorer,g-wHniCoLoM-dream-explorer,https://chatgpt.com/g/g-wHniCoLoM-dream-explorer,mindfulness,qi52v5axrDieMNzZTm0ePxEjeaYOacjL6MUVvUWjSkM=,4/18/26,N/A,0,,
Soothing Mind,g-xcLTOuUSE-soothing-mind,https://chatgpt.com/g/g-xcLTOuUSE-soothing-mind,mindfulness,tlDTr5qtkSLyEqH+dECST6BFsSwEBJ1+rCi0JAZGazQ=,4/18/26,N/A,0,,
The Inspiring Psychologist,g-om29Liz7Q-the-inspiring-psychologist,https://chatgpt.com/g/g-om29Liz7Q-the-inspiring-psychologist,mindfulness,3zI9+RyQ21Wm147WrCWhI7E30ArXQFZ5WgXUWbwlA+0=,4/18/26,N/A,0,,
Jordan Peterson,g-4sf1DYIO8-jordan-peterson,https://chatgpt.com/g/g-4sf1DYIO8-jordan-peterson,mindfulness,j44fIayOoienRP999mvatRDCnJcw+RFj+u3ETUBQwWQ=,4/18/26,N/A,0,,
Vedanta GPT,g-SLSLKsvCb-vedanta-gpt,https://chatgpt.com/g/g-SLSLKsvCb-vedanta-gpt,mindfulness,15M9+tc/zTJiTfeNVGdOPEAFHY9+hfZgpvDDEGPdqMQ=,4/18/26,N/A,0,,
Horoscope,g-ME1NLjDV3-horoscope-harmony,https://chatgpt.com/g/g-ME1NLjDV3-horoscope-harmony,mindfulness,do0FbXGQjQnMKP4W2kS0GTGOZqT2tCNelmqSxyuPZbI=,4/18/26,N/A,0,,
DreamSight Analyst,g-QTzC0HvsX-dreamsight-illustrator-analyst,https://chatgpt.com/g/g-QTzC0HvsX-dreamsight-illustrator-analyst,mindfulness,CIP0jp06xzo+ULFlOiBLFbw9KwTkEpphZL1VfBQioDE=,4/18/26,N/A,0,,
Supportive Sky,g-mltAOOnks-supportive-sky,https://chatgpt.com/g/g-mltAOOnks-supportive-sky,mindfulness,DuQDDddKpYYZu0OrVe76jSs0J08S9NCnPn8KtxUPzgU=,4/18/26,N/A,0,,
TarotGPT,g-OIZhXM3W1-tarotgpt,https://chatgpt.com/g/g-OIZhXM3W1-tarotgpt,mindfulness,UwMNy0/Z5cB+hNUjNwQ4z2ow6CTMoRs0snWvU77v8n4=,4/18/26,N/A,0,,
11:11 Eternal Wisdom Portal 11:11,g-YY0LlPneH-11-11-eternal-wisdom-portal-11-11,https://chatgpt.com/g/g-YY0LlPneH-11-11-eternal-wisdom-portal-11-11,mindfulness,Cl7oA8JRUdLCSErXbAl2kRq6cmFXkrj0QDCoYdHLgAU=,4/18/26,N/A,0,,
Thera-GPT,g-bADpZTSmv-friendly-ear,https://chatgpt.com/g/g-bADpZTSmv-friendly-ear,mindfulness,KznirQTAje1Na/rHPLx+0d0O6GRwmBffJa02bFH9cN0=,4/18/26,N/A,0,,
Buddha,g-xpnC5ClYa-buddha,https://chatgpt.com/g/g-xpnC5ClYa-buddha,mindfulness,UJFcVxpFqHpquMDCyt9G4bTVwxIEZa3JAeN2i/6MgK0=,4/18/26,N/A,0,,
Alan Watts,g-DzsxuvtlQ-alan-watts,https://chatgpt.com/g/g-DzsxuvtlQ-alan-watts,mindfulness,4Mxgwp9Ud9dRd0B/a3IVHNQnNcRAC/8yqagXDfv1lfA=,4/18/26,N/A,0,,
DecryptedGPT,g-FxlKX0IBx-decrypted-smart-contract-creator,https://chatgpt.com/g/g-FxlKX0IBx-decrypted-smart-contract-creator,development,STmquDKiHLeUsRopIUCVhWK6IAHPLZPYBkbkyZe/vOQ=,4/18/26,N/A,0,,
File Converter by B12,g-KJNTTMPZ4-convert-my-file,https://chatgpt.com/g/g-KJNTTMPZ4-convert-my-file,development,7FczC8G/fqaoDc89AuaThFMbBSBGl/TGmzysgpk7x4k=,4/18/26,N/A,0,,
Text Extractor by B12,g-3HfSsXZ29-text-extractor,https://chatgpt.com/g/g-3HfSsXZ29-text-extractor,development,qv7zYr4WALlCSQRx6AJA37u9idreTD/yWIEmo+6sPyo=,4/18/26,N/A,0,,
Website Zodiac by B12,g-uVGRs3Tw3-website-zodiac-by-b12,https://chatgpt.com/g/g-uVGRs3Tw3-website-zodiac-by-b12,development,dRVd+mEJegk7L8UbPTanq5hmKPsYQjD+I8HYm1xvFDU=,4/18/26,N/A,0,,
Hacker Art,g-LjmHKgJZO-hacker-art-by-rez0,https://chatgpt.com/g/g-LjmHKgJZO-hacker-art-by-rez0,development,fHWQqrG1+TVJFFSG4klgpv/DtvFSRUgU1hIevcnmKlk=,4/18/26,N/A,0,,
Find My Aesthetic,g-8E8kKnYtu-find-my-aesthetic,https://chatgpt.com/g/g-8E8kKnYtu-find-my-aesthetic,development,JmaHwQpxeGjPL5La1MQ3QKRJXOfJWDIFoKCwvvdZHGY=,4/18/26,N/A,0,,
Regex Crafter,g-TAANxtI3q-regex-crafter,https://chatgpt.com/g/g-TAANxtI3q-regex-crafter,development,vCrZCqj4oTHrNIDpeh/qkGlVAHFkFsys+0tlGzjucrU=,4/18/26,N/A,0,,
GPT Action Builder,g-mLeQhjN21-gpt-action-builder,https://chatgpt.com/g/g-mLeQhjN21-gpt-action-builder,development,tCt+IBjTMq1YeBaxKYQM+BWi9zR5MCS8ig1l8ub+E+g=,4/18/26,N/A,0,,
GPT H4x0r,g-QrtVX4w0Z-gpt-h4x0r,https://chatgpt.com/g/g-QrtVX4w0Z-gpt-h4x0r,development,0fdW1lZylTyQ1ximbcTNVcDMgbWyWdLtteTJ3P8ICzA=,4/18/26,N/A,0,,
Manifest Your Dream Life,g-hL8Y9gcuW-manifest-your-dream-life,https://chatgpt.com/g/g-hL8Y9gcuW-manifest-your-dream-life,development,84BAdamC9pDSqOtvVMwDvt6Bf2Mk6Knudg0BTKbjDJA=,4/18/26,N/A,0,,
Geppetto_Py,g-QmUdXqwOR-geppetto-py,https://chatgpt.com/g/g-QmUdXqwOR-geppetto-py,development,MjPxaDqL2GqGLRTiN6BKhOV/ZqdvG/y8CM82ieNpaz0=,4/18/26,N/A,0,,
AlgoMentor,g-bQkvmBFZ1-algomentor,https://chatgpt.com/g/g-bQkvmBFZ1-algomentor,development,cRhMjMpYyn55o+kFadJuu1ycA+pY5SKFy/lPZ6SWtkc=,4/18/26,N/A,0,,
Rust Samurai,g-BT0Ihrprq-rust,https://chatgpt.com/g/g-BT0Ihrprq-rust,development,FlP7muZ3NjDrQydrjZZpMxgBPPsD04iRyoZdm6BAtFw=,4/18/26,N/A,0,,
C++ Expert,g-Bgk8s1qOs-c,https://chatgpt.com/g/g-Bgk8s1qOs-c,development,0mAH3C/ZYv6BldkaQHr2f7WuaOHxUKqC6TECUqGxPYg=,4/18/26,N/A,0,,
SQL Expert for PostgreSQL 15.5,g-lqAXRjVWw-sql-expert-for-postgresql-15-5,https://chatgpt.com/g/g-lqAXRjVWw-sql-expert-for-postgresql-15-5,development,gnZiqb1sOwmq4rIAZgkqCVb0V61XRqZpMrj+CBWB8CE=,4/18/26,N/A,0,,
Edified GPT,g-Ol9F49gYz-edified-gpt,https://chatgpt.com/g/g-Ol9F49gYz-edified-gpt,development,BgLyIAiPcnTe9DU6T0xV+vHtygk6IonqCeMCLpVGYyE=,4/18/26,N/A,0,,
Software Architecture Visualiser,g-FJhVmVrg8-software-architecture-visualiser,https://chatgpt.com/g/g-FJhVmVrg8-software-architecture-visualiser,development,u0/b6YQ14htYHsdmqnpu//CUuGtw5wKim+8sipy/Uvw=,4/18/26,N/A,0,,
Code Crafter,g-xy6rGAQmP-code-crafter,https://chatgpt.com/g/g-xy6rGAQmP-code-crafter,development,ZVuehFgkQz3CzuLzHuLbXDcmXJPIcjsG7Kdj7u2VqJI=,4/18/26,N/A,0,,
TYPO3 GPT,g-Epdq38CLh-typo3-dev-assist-by-in2code,https://chatgpt.com/g/g-Epdq38CLh-typo3-dev-assist-by-in2code,development,BRNKIR9cQ0VU0uyjwULreyVcQVvhP9YRu3kF+k6I8XU=,4/18/26,https://drive.google.com/file/d/1oR-VhOuMLwJEsfDXqyfbrhdJxe5zb-S9/view?usp=drive_link,1,"A lot of APIs about web searches and github. While this could potentially collect sensitive information, it should all be expected",
Stoicism,g-3mtLbsROW-stoicism,https://chatgpt.com/g/g-3mtLbsROW-stoicism,development,AcrHrZA8umPqbD9/9S/93Ui2fy1MKUhUaSVpO7Awejg=,4/18/26,N/A,0,,
Expansion Architect AI,g-6e7vNKeU1-expansion-architect-ai,https://chatgpt.com/g/g-6e7vNKeU1-expansion-architect-ai,development,Q/Gk9rWmfGGT8PKP3UCvAj0WNsJo9wX6wrW+FmNUTEI=,,N/A,0,,
WordPress Code Wizard,g-q201IJB7L-wp-code-wizard,https://chatgpt.com/g/g-q201IJB7L-wp-code-wizard,development,YXlFgRC2D9KyeT5DRPl6eFgJRmJy4Dh7MFa/UaM2IyM=,,https://drive.google.com/file/d/1af1G6NamfxAPYU8jRVyh-tMgh6hgv7LS/view?usp=drive_link,3,"It just reads the information from a web page and that's it. It is somewhat valid for learning the information about a page, it could collect someone's search history, which isn't ideal ",
100x Solidity Dev,g-9aG9W5Fxk-100x-solidity-dev,https://chatgpt.com/g/g-9aG9W5Fxk-100x-solidity-dev,development,vp6MLb47eKJ08u2sMWyNSglHzpXXgbNdIf4CNl6wNZ8=,,N/A,0,,
Cloud-native threat modeling,g-vcNJ2pVzj-cloud-native-threat-modeling,https://chatgpt.com/g/g-vcNJ2pVzj-cloud-native-threat-modeling,development,ri1zcRgHbCTLH73NzTmFPCQH9Jd9RNCpU4ylVODqt8I=,,N/A,0,,
API Compass GPT,g-apONraLSm-api-compass-gpt,https://chatgpt.com/g/g-apONraLSm-api-compass-gpt,development,LRD5OgDe2WtJlef5RaRhzA3+PBNTDkh00LbFzHz9DIQ=,,N/A,0,,
Screaming Frog & Technical SEO Companion,g-bIrnI1355-seer-s-screaming-frog-technical-seo-companion,https://chatgpt.com/g/g-bIrnI1355-seer-s-screaming-frog-technical-seo-companion,development,Va1KKAQm+A//iNSFHG9NwFuF3tUa3tMH7G6GTnwKvv8=,,N/A,0,,
